OBJECTID,w_geocode,h_geocode,O_X,O_Y,D_X,D_Y
1,080130122021021,080010078021006,476707.360500000009779,4429999.941300000064075,511547.312500000000000,4399229.113199999555945
2,080130122021021,080010085073002,476707.360500000009779,4429999.941300000064075,502102.325799999991432,4417178.348199999891222
3,080130122021021,080010085432008,476707.360500000009779,4429999.941300000064075,519081.548599999980070,4425969.321000000461936
4,080130122021021,080010088013049,476707.360500000009779,4429999.941300000064075,507366.404600000008941,4409289.295300000347197
5,080130122021021,080010092041010,476707.360500000009779,4429999.941300000064075,502876.431999999971595,4414800.200899999588728
6,080130122021021,080010093262002,476707.360500000009779,4429999.941300000064075,498446.897999999986496,4416500.790000000037253
7,080130122021021,080010094081092,476707.360500000009779,4429999.941300000064075,496612.828199999989010,4417879.265599999576807
8,080130122021021,080010094092029,476707.360500000009779,4429999.941300000064075,496041.840800000005402,4415551.927699999883771
9,080130122021021,080010600002010,476707.360500000009779,4429999.941300000064075,499170.572199999995064,4424459.162399999797344
10,080130122021021,080050049511003,476707.360500000009779,4429999.941300000064075,506005.441799999971408,4394278.185800000093877
11,080130122021021,080130121023010,476707.360500000009779,4429999.941300000064075,476161.381700000027195,4430695.002000000327826
12,080130122021021,080130121042000,476707.360500000009779,4429999.941300000064075,475741.659999999974389,4433045.606499999761581
13,080130122021021,080130121051010,476707.360500000009779,4429999.941300000064075,476484.647999999986496,4434419.810800000093877
14,080130122021021,080130121052008,476707.360500000009779,4429999.941300000064075,476074.502199999988079,4434178.416400000452995
15,080130122021021,080130121054005,476707.360500000009779,4429999.941300000064075,476114.376099999994040,4432299.205599999986589
16,080130122021021,080130122013036,476707.360500000009779,4429999.941300000064075,475883.108999999996740,4428303.964900000020862
17,080130122021021,080130122013037,476707.360500000009779,4429999.941300000064075,475883.608699999982491,4428103.605999999679625
18,080130122021021,080130122013039,476707.360500000009779,4429999.941300000064075,475685.745600000023842,4428103.087000000290573
19,080130122021021,080130122013048,476707.360500000009779,4429999.941300000064075,475431.203399999998510,4428790.663999999873340
20,080130122021021,080130122021014,476707.360500000009779,4429999.941300000064075,477350.978400000021793,4430289.690799999982119
21,080130122021021,080130122021018,476707.360500000009779,4429999.941300000064075,477036.826000000000931,4430086.949599999934435
22,080130122021021,080130122023016,476707.360500000009779,4429999.941300000064075,476990.708600000012666,4429549.146200000308454
23,080130122021021,080130122024025,476707.360500000009779,4429999.941300000064075,477732.805400000012014,4429234.360399999655783
24,080130122021021,080130122034003,476707.360500000009779,4429999.941300000064075,478244.352399999974295,4431133.255400000140071
25,080130122021021,080130124011010,476707.360500000009779,4429999.941300000064075,476267.387800000025891,4428682.354299999773502
26,080130122021021,080130124012008,476707.360500000009779,4429999.941300000064075,476909.100500000000466,4428166.845900000073016
27,080130122021021,080130124014005,476707.360500000009779,4429999.941300000064075,476162.009199999971315,4428503.203200000338256
28,080130122021021,080130125011013,476707.360500000009779,4429999.941300000064075,480319.678699999989476,4427572.338899999856949
29,080130122021021,080130125011020,476707.360500000009779,4429999.941300000064075,480348.891100000008009,4426545.443099999800324
30,080130122021021,080130125011024,476707.360500000009779,4429999.941300000064075,480717.790199999988545,4426418.895999999716878
31,080130122021021,080130125012004,476707.360500000009779,4429999.941300000064075,480754.620899999979883,4427272.395499999634922
32,080130122021021,080130125081005,476707.360500000009779,4429999.941300000064075,479381.694000000017695,4425433.406499999575317
33,080130122021021,080130125082005,476707.360500000009779,4429999.941300000064075,479542.352799999993294,4425620.252299999818206
34,080130122021021,080130125093006,476707.360500000009779,4429999.941300000064075,478409.664400000008754,4424908.668200000189245
35,080130122021021,080130125111025,476707.360500000009779,4429999.941300000064075,479996.358899999991991,4426554.922500000335276
36,080130122021021,080130126031026,476707.360500000009779,4429999.941300000064075,480160.946899999980815,4428889.915500000119209
37,080130122021021,080130126072002,476707.360500000009779,4429999.941300000064075,478273.555899999977555,4427990.695100000128150
38,080130122021021,080130126074000,476707.360500000009779,4429999.941300000064075,478589.866199999989476,4428526.360999999567866
39,080130122021021,080130127012131,476707.360500000009779,4429999.941300000064075,479404.872199999983422,4435329.505800000391901
40,080130122021021,080130127014007,476707.360500000009779,4429999.941300000064075,478568.952800000028219,4432704.256699999794364
41,080130122021021,080130127051007,476707.360500000009779,4429999.941300000064075,482990.582400000013877,4435297.893400000408292
42,080130122021021,080130127083000,476707.360500000009779,4429999.941300000064075,484465.564799999992829,4435453.039400000125170
43,080130122021021,080130127091017,476707.360500000009779,4429999.941300000064075,485632.300099999993108,4434436.712000000290573
44,080130122021021,080130128002004,476707.360500000009779,4429999.941300000064075,493703.005200000014156,4433627.392699999734759
45,080130122021021,080130128002024,476707.360500000009779,4429999.941300000064075,494505.494799999985844,4431918.052899999544024
46,080130122021021,080130128004016,476707.360500000009779,4429999.941300000064075,494178.488200000021607,4434464.451600000262260
47,080130122021021,080130129042057,476707.360500000009779,4429999.941300000064075,490376.240899999975227,4426443.345900000073016
48,080130122021021,080130129071031,476707.360500000009779,4429999.941300000064075,492162.285600000002887,4428804.010499999858439
49,080130122021021,080130129071041,476707.360500000009779,4429999.941300000064075,492183.608499999972992,4428541.687199999578297
50,080130122021021,080130130042012,476707.360500000009779,4429999.941300000064075,486459.917699999990873,4426033.136800000444055
51,080130122021021,080130130061001,476707.360500000009779,4429999.941300000064075,488982.478599999973085,4424959.977300000376999
52,080130122021021,080130132053005,476707.360500000009779,4429999.941300000064075,484583.132900000025984,4436283.309700000099838
53,080130122021021,080130132071020,476707.360500000009779,4429999.941300000064075,485791.825000000011642,4449291.732900000177324
54,080130122021021,080130132123007,476707.360500000009779,4429999.941300000064075,487841.210499999986496,4444166.265700000338256
55,080130122021021,080130132131024,476707.360500000009779,4429999.941300000064075,487025.052599999995437,4443321.213100000284612
56,080130122021021,080130133083003,476707.360500000009779,4429999.941300000064075,490394.687500000000000,4447581.077600000426173
57,080130122021021,080130134021003,476707.360500000009779,4429999.941300000064075,493282.769800000009127,4446248.555700000375509
58,080130122021021,080130135034015,476707.360500000009779,4429999.941300000064075,491626.340399999986403,4447171.327899999916553
59,080130122021021,080130137011068,476707.360500000009779,4429999.941300000064075,470351.140399999974761,4437292.078499999828637
60,080130122021021,080130137022033,476707.360500000009779,4429999.941300000064075,458040.454299999983050,4425768.355600000359118
61,080130122021021,080130608004004,476707.360500000009779,4429999.941300000064075,492869.017099999997299,4427343.827300000004470
62,080130122021021,080130609002023,476707.360500000009779,4429999.941300000064075,492036.989899999985937,4424338.828300000168383
63,080130122021021,080140300002021,476707.360500000009779,4429999.941300000064075,493534.249399999971502,4418567.073900000192225
64,080130122021021,080140301002010,476707.360500000009779,4429999.941300000064075,493663.936500000010710,4419482.224100000225008
65,080130122021021,080140308002000,476707.360500000009779,4429999.941300000064075,496064.089399999997113,4418488.481300000101328
66,080130122021021,080140312002013,476707.360500000009779,4429999.941300000064075,491469.724199999996927,4420011.003100000321865
67,080130122021021,080310027022005,476707.360500000009779,4429999.941300000064075,502169.597200000018347,4397764.871100000105798
68,080130122021021,080310030041011,476707.360500000009779,4429999.941300000064075,503431.296800000010990,4391167.775100000202656
69,080130122021021,080310038003003,476707.360500000009779,4429999.941300000064075,504767.874399999971502,4396352.634499999694526
70,080130122021021,080310041046012,476707.360500000009779,4429999.941300000064075,507008.430600000021514,4401235.397599999792874
71,080130122021021,080310047004003,476707.360500000009779,4429999.941300000064075,496022.993299999972805,4391713.486899999901652
72,080130122021021,080310051021005,476707.360500000009779,4429999.941300000064075,506352.436800000024959,4393810.546900000423193
73,080130122021021,080310070061000,476707.360500000009779,4429999.941300000064075,512506.232900000002701,4389784.768099999986589
74,080130122021021,080350139091019,476707.360500000009779,4429999.941300000064075,522276.199100000027101,4363176.396300000138581
75,080130122021021,080350140061015,476707.360500000009779,4429999.941300000064075,517565.582600000023376,4372343.888100000098348
76,080130122021021,080410063013013,476707.360500000009779,4429999.941300000064075,522337.690899999986868,4296039.063599999994040
77,080130122021021,080410068011011,476707.360500000009779,4429999.941300000064075,520589.310300000011921,4309634.336699999868870
78,080130122021021,080410072022028,476707.360500000009779,4429999.941300000064075,515131.759399999980815,4322228.437900000251830
79,080130122021021,080410073002064,476707.360500000009779,4429999.941300000064075,513151.329800000006799,4325542.831699999980628
80,080130122021021,080459519023144,476707.360500000009779,4429999.941300000064075,284048.838999999978114,4383796.177000000141561
81,080130122021021,080590098062073,476707.360500000009779,4429999.941300000064075,486451.647799999976996,4400561.418899999931455
82,080130122021021,080590098083011,476707.360500000009779,4429999.941300000064075,468117.008199999982025,4416395.373599999584258
83,080130122021021,080590098283003,476707.360500000009779,4429999.941300000064075,491825.641599999973550,4412638.750699999742210
84,080130122021021,080590098352004,476707.360500000009779,4429999.941300000064075,490727.278799999970943,4411563.197399999946356
85,080130122021021,080590098493000,476707.360500000009779,4429999.941300000064075,481427.281299999973271,4398330.070000000298023
86,080130122021021,080590103062009,476707.360500000009779,4429999.941300000064075,489214.768999999971129,4406178.330799999646842
87,080130122021021,080590103082010,476707.360500000009779,4429999.941300000064075,491533.565899999986868,4405163.740799999795854
88,080130122021021,080590117204004,476707.360500000009779,4429999.941300000064075,487124.262300000002142,4394337.534400000236928
89,080130122021021,080590117321002,476707.360500000009779,4429999.941300000064075,487231.325599999981932,4397105.166100000031292
90,080130122021021,080590120262012,476707.360500000009779,4429999.941300000064075,472742.563699999998789,4386633.168700000271201
91,080130122021021,080590120513013,476707.360500000009779,4429999.941300000064075,493861.625999999989290,4382062.141900000162423
92,080130122021021,080590120531011,476707.360500000009779,4429999.941300000064075,494696.759699999995064,4380961.354500000365078
93,080130122021021,080590120551004,476707.360500000009779,4429999.941300000064075,492930.955699999991339,4381142.566899999976158
94,080130122021021,080590605001012,476707.360500000009779,4429999.941300000064075,492654.178899999998976,4416123.765800000168383
95,080130122021021,080690018081001,476707.360500000009779,4429999.941300000064075,482682.478000000002794,4481393.438299999572337
96,080130122021021,080690019021010,476707.360500000009779,4429999.941300000064075,490825.204299999983050,4474275.703300000168383
97,080130122021021,080690019023011,476707.360500000009779,4429999.941300000064075,490877.154399999999441,4473279.970900000073016
98,080130122021021,081230014161057,476707.360500000009779,4429999.941300000064075,518983.090399999986403,4475622.554800000041723